Enhancer	Target_gene
TE_347	HP1BP3
TE_110	ENO1-AS1
TE_110	ENO1
TE_188	FHAD1-AS1
TE_314	ASAP3
TE_513	LSM10
TE_118	CLCN6
TE_118	MTHFR
TE_647	PRDX1
SE_23	PABPC4
SE_23	PPIEL
SE_23	PABPC4-AS1
SE_23	SNORA55
TE_2777	RNA5S1
TE_2777	RNA5S2
TE_2777	RNA5S3
TE_2777	RNA5S4
TE_2777	RNA5S5
TE_2777	RNA5S6
TE_2777	RNA5S7
TE_2777	RNA5S8
TE_2777	RNA5S10
TE_2777	RNA5S11
TE_2777	RNA5S12
TE_2777	RNA5S13
TE_2777	RNA5S14
TE_2777	RNA5S15
TE_2777	RNA5S16
TE_2777	RNA5S17
TE_2777	RNA5S9
TE_2777	DUSP5P1
TE_2777	RHOU
SE_46	MEF2D
TE_1572	RNF115
TE_1572	POLR3C
TE_287	CELA3B
TE_1338	MIR4258
TE_1338	FLAD1
TE_1338	PBXIP1
TE_1338	SHC1
TE_1338	ZBTB7B
TE_1338	PYGO2
TE_1338	CKS1B
TE_1338	LENEP
TE_1338	LOC101928120
SE_50	PIGV
TE_1543	LINC01138
TE_1719	HS2ST1
TE_1719	SELENOF
TE_2334	MIR6740
TE_2334	ELF3
TE_2334	ELF3-AS1
TE_120	MIR4258
TE_120	FLAD1
TE_120	PBXIP1
TE_120	SHC1
TE_120	ZBTB7B
TE_120	PYGO2
TE_120	CKS1B
TE_120	LENEP
TE_120	LOC101928120
TE_634	PLK3
TE_634	TCTEX1D4
TE_634	BTBD19
TE_176	MFN2
TE_1561	NOTCH2NLR
TE_1561	NOTCH2NLA
TE_1561	NOTCH2NLC
TE_1561	NOTCH2NLB
TE_26	ZNF362
SE_50	INTS7
SE_50	DTL
TE_1626	SNORD13C
TE_1626	APH1A
TE_1626	CIART
TE_1626	C1orf54
TE_1626	CA14
SE_272	SLC7A5
SE_272	MIR11401
SE_273	SLC7A5
SE_273	MIR11401
TE_10807	SULT1A4
TE_10807	BOLA2B
TE_10807	BOLA2-SMG1P6
TE_10807	BOLA2
TE_10807	SLX1B
TE_10807	SMG1P6
TE_10807	LOC606724
TE_10807	SLX1A-SULT1A3
TE_10807	SLX1B-SULT1A4
TE_10807	LOC388242
TE_10807	LOC613038
TE_10807	SULT1A3
TE_10807	SLX1A
SE_272	SMG1
TE_10521	KCTD5
TE_10521	ERVK13-1
TE_11278	GSE1
SE_273	SMG1
SE_272	SMG1P1
SE_272	RRN3P3
TE_10800	EIF3C
TE_11045	PLEKHG4
TE_10659	MIR3179-1
TE_10659	MIR3179-2
TE_10659	MIR3179-3
TE_10659	MIR3179-4
TE_10659	MIR3670-2
TE_10659	MIR3670-3
TE_10659	MIR3670-4
TE_10659	MIR3180-1
TE_10659	MIR3180-3
TE_10659	MIR3180-2
TE_10659	PKD1P4-NPIPA8
TE_10659	PKD1P1
TE_10659	MIR3670-1
TE_11341	SLC7A5
TE_11341	MIR11401
SE_273	KIF22
SE_273	ZG16
TE_10645	PARN
TE_10645	BFAR
TE_11061	PRMT7
TE_11061	SLC7A6OS
SE_281	SNORD111B
SE_281	SNORD111
SE_281	COG4
SE_281	SF3B3
TE_11210	CENPN
TE_11210	CMC2
TE_10753	RBBP6
SE_273	SMG1P1
SE_273	RRN3P3
TE_10530	ZNF213
TE_10530	ZSCAN10
TE_10530	ZNF205
TE_10530	ZNF205-AS1
TE_10530	ZNF213-AS1
TE_10530	CASP16P
TE_10818	KIF22
TE_10818	ZG16
TE_11065	PRMT7
TE_11065	SLC7A6OS
TE_10659	PKD1P5-LOC105376752
SE_269	PAM16
TE_10487	LUC7L
TE_10487	FAM234A
TE_10673	BOLA2B
TE_10673	SLX1A
TE_10673	BOLA2
TE_10673	SULT1A3
TE_10673	SLX1B
TE_10673	LOC606724
TE_10673	SLX1A-SULT1A3
TE_10673	SLX1B-SULT1A4
