Enhancer	Target_gene
TE_7667	ZNF839
TE_6958	AJUBA
TE_7294	BAZ1A
TE_7294	LOC112268124
TE_7577	EFCAB11
TE_7577	TDP1
TE_7246	MTHFD1
TE_7487	PELI2
SE_166	PRKD1
TE_7671	HIF1A
TE_7671	HIF1A-AS1
TE_7332	ZNF410
SE_173	DEGS2
TE_7391	TMED10
TE_7718	LOC105370697
TE_7718	TMEM121
TE_7619	CCDC85C
TE_7619	HHIPL1
TE_7254	MAX
TE_7667	MOK
TE_7577	GPR68
TE_7107	DNAAF2
TE_7107	MGAT2
TE_7107	RPL36AL
TE_7488	BCL11B
TE_6960	REM2
TE_6960	LRP10
TE_7337	COX16
TE_7487	ITPK1
TE_7630	RCOR1
TE_7487	PPP4R3A
TE_7585	PPP4R3A
TE_7251	WDR89
TE_7690	MARK3
SE_163	CIPC
TE_7708	CEP170B
TE_7708	MIR12121
TE_7629	YY1
SE_161	TMED10
TE_19597	SCGB3A2
TE_18527	TPPP
TE_19297	SCGB3A2
TE_19929	LOC643201
TE_19675	LARP1
TE_19201	SCGB3A2
TE_19771	SCGB3A2
TE_19956	RUFY1
TE_18641	SCGB3A2
TE_19533	SPRY4
TE_19533	SPRY4-IT1
TE_19533	SPRY4-AS1
TE_19592	SCGB3A2
SE_399	SCGB3A2
TE_19896	CPLX2
TE_18538	PDCD6
TE_18538	HRAT5
TE_19842	FBXW11
SE_387	SCGB3A2
TE_19920	RAB24
TE_19920	MXD3
TE_19920	PRELID1
TE_19972	TRIM52
TE_19972	TRIM52-AS1
TE_19956	TBC1D9B
TE_18595	ADCY2
TE_19896	PAM
TE_19678	LARP1
SE_397	PCDH1
TE_19150	ATP6V0E1
TE_19939	PHYKPL
SE_392	WDR41
TE_19972	RACK1
TE_19972	SNORD96A
TE_19972	SNORD95
TE_19972	CTC-338M12.4
TE_18734	ZFR
TE_19395	PHAX
TE_19395	ALDH7A1
TE_18845	GPBP1
TE_19288	LOC643201
TE_19842	LARP1
TE_19594	PCDHGB5
TE_19594	PCDHGA8
TE_19594	PCDHGA7
TE_19594	PCDHGB4
SE_399	FBXO38
SE_399	LOC102546294
TE_18595	PDE8B
TE_19792	LARP1
TE_19937	HNRNPAB
TE_19076	LOC643201
TE_18708	JAKMIP2
TE_19344	LARP1
SE_399	DPYSL3
TE_19013	DROSHA
TE_19013	C5orf22
TE_19207	EFNA5
TE_19936	TMED9
TE_19936	B4GALT7
TE_19803	CDHR2
TE_19803	RNF44
TE_19678	ZNF608
TE_19904	LOC643201
TE_19872	BOD1
TE_19924	DBN1
TE_19678	FBXW11
SE_392	TTC37
SE_392	ARSK
TE_19842	STK10
TE_19842	EFCAB9
SE_403	SFXN1
TE_19208	SLC36A1
SE_397	ARAP3
TE_19287	UBE2QL1
TE_19842	NPM1
TE_19842	MIR3912
TE_19150	KIF2A
TE_19584	TMEM171
TE_19126	SERINC5
SE_392	SERINC5
TE_19150	RAI14
TE_18660	PCDHGA2
TE_18660	PCDHGA1
TE_18660	TAF7
TE_19232	EFNA5
TE_19956	HNRNPH1
SE_397	DELE1
TE_19792	TNPO1
SE_397	SH3PXD2B
TE_19678	MATR3
TE_19675	CNOT8
TE_19675	FAXDC2
