Enhancer	Target_gene
TE_22441	TIMM29
TE_21665	UBE2CP5
SE_1092	RPL36
SE_1092	HSD11B1L
SE_1092	MICOS13
SE_1112	RPL36
SE_1112	HSD11B1L
SE_1112	MICOS13
SE_1078	ELANE
SE_1078	PRTN3
TE_21639	RPS15
TE_21639	APC2
SE_1114	PTGIR
SE_1114	GNG8
TE_21642	PTPRS
SE_1097	RPS15
SE_1097	APC2
TE_21703	OR1M1
TE_22183	ZNF320
SE_1081	LSM7
SE_1081	SPPL2B
TE_21753	NFIX
TE_22344	KLK10
TE_22344	KLK12
TE_22344	KLK9
TE_22344	KLK11
SE_1101	TLE5
SE_1101	TLE2
TE_22322	RPL13A
TE_22322	FLT3LG
TE_22322	FCGRT
TE_22322	MIR150
TE_22322	RPS11
TE_22322	SNORD32A
TE_22322	SNORD33
TE_22322	SNORD34
TE_22322	SNORD35A
TE_22322	SNORD35B
SE_1108	URI1
TE_21576	GAMT
TE_21576	DAZAP1
TE_21766	CCDC130
TE_21738	PLPPR2
TE_21738	TMEM205
TE_21738	RAB3D
TE_21738	CCDC159
TE_21754	KLF1
TE_21754	GCDH
TE_21754	DNASE2
TE_21638	TICAM1
TE_21578	MBD3
SE_1110	ZNF526
SE_1110	DEDD2
TE_22241	NANOS2
SE_1101	ADGRL1
TE_21578	ADAMTSL5
SE_1110	COX7A1
SE_1110	CAPNS1
TE_21871	BORCS8-MEF2B
TE_21871	RFXANK
TE_21871	BORCS8
TE_21871	NR2C2AP
TE_21871	NCAN
TE_22298	EMP3
TE_22298	CCDC114
SE_1122	UBE2CP5
TE_22271	CCDC9
SE_1086	SH3GL1
SE_1086	CHAF1A
SE_1097	RAD23A
SE_1097	DAND5
SE_1097	SYCE2
SE_1097	GADD45GIP1
SE_1097	MIR5695
SE_1097	FARSA-AS1
SE_1097	MIR6515
SE_1097	FARSA
SE_1097	CALR
TE_21638	STK11
SE_1084	UBXN6
SE_1084	MIR4746
TE_21613	BSG
TE_22102	TBCB
TE_22102	POLR2I
TE_22102	OVOL3
TE_22426	ZNF579
TE_22281	NPAS1
SE_1087	ZNF580
SE_1087	EPN1
SE_1087	ZNF581
SE_1087	U2AF2
SE_1087	CCDC106
SE_1103	LRRC25
TE_21592	CSNK1G2-AS1
SE_1115	DACT3
SE_1115	DACT3-AS1
TE_21730	YIPF2
