Enhancer	Target_gene
TE_26915	VPS13A-AS1
TE_26126	BNC2-AS1
SE_784	GABBR2
TE_27027	TXN
SE_769	KYAT1
SE_769	LRRC8A
SE_771	SIT1
SE_771	RMRP
SE_771	CA9
SE_771	ARHGEF39
SE_771	CCDC107
SE_771	LOC101926948
TE_27121	GAPVD1
SE_773	OR2S2
TE_27090	TMEM245
TE_27300	DPH7
TE_27198	GPR107
TE_27198	FNBP1
TE_26914	PTBP3
TE_27107	NEK6
TE_27107	LOC613206
SE_804	PRRX2
TE_27028	NIBAN2
SE_806	PIP5KL1
SE_806	DPM2
SE_802	VCP
SE_802	FANCG
SE_774	CCIN
TE_26484	LRSAM1
TE_26484	RPL12
TE_26484	SNORA65
TE_27225	MED27
TE_26914	PHF19
SE_778	SHC3
TE_26482	PBX3
TE_26482	LOC51145
SE_775	PUM3
TE_27021	NIBAN2
TE_26644	KIF27
TE_26530	TRPM6
TE_26915	ANP32B
SE_769	APTX
SE_769	DNAJA1
SE_784	TRMO
TE_27202	NEK6
TE_27202	LOC613206
SE_774	GNE
TE_27166	TLN1
TE_27166	CREB3
TE_27166	MIR6853
TE_27114	PSMB7
SE_802	SLC25A25
SE_770	NOL6
SE_770	MIR6851
TE_26961	NACC2
SE_802	PALM2AKAP2
TE_26648	C9orf64
SE_807	SETX
TE_26498	SLC25A25
SE_801	PSMB7
TE_26902	PALM2AKAP2
SE_798	APTX
SE_798	DNAJA1
TE_26837	MAMDC2
TE_26902	ST6GALNAC6
TE_26787	PTPA
TE_26787	CRAT
TE_26945	RAD23B
TE_26473	RABL6
TE_26473	CCDC183
TE_26473	TMEM141
TE_26473	CCDC183-AS1
TE_26446	CBWD3
TE_26446	CBWD5
TE_27106	NEK6
TE_27106	LOC613206
TE_26977	APTX
TE_26977	DNAJA1
TE_26736	FAM219A
TE_26736	DNAI1
SE_803	AK1
SE_803	MIR4672
TE_26509	ZFAND5
TE_26927	GSN
TE_27021	EHMT1
TE_27021	ARRDC1-AS1
TE_26277	PLGRKT
TE_27220	KLF9
SE_801	AGTPBP1
TE_27091	ZBTB26
TE_27091	RABGAP1
SE_779	PTBP3
TE_26334	ANXA1
SE_792	COL5A1
TE_26766	AOPEP
TE_26812	TBC1D2
TE_26596	HNRNPK
TE_26596	RMI1
TE_26596	MIR7-1
TE_26516	ZFAND5
TE_27208	FUBP3
TE_27208	LOC100272217
TE_26222	GNAQ
TE_27247	TBC1D2
TE_26222	HAUS6
SE_783	GSN
TE_26623	KLF9
