Enhancer	Target_gene
SE_249	RPL4
SE_249	SNAPC5
SE_249	MIR4512
SE_249	SNORD18C
SE_249	SNORD18B
SE_249	SNORD16
SE_249	SNORD18A
SE_249	ZWILCH
TE_7838	OR4F4
TE_7013	HERC2
SE_260	OR4F4
TE_7689	DNM1P41
TE_7689	UBE2Q2L
TE_7371	ADAM10
SE_251	AP3B2
SE_251	LOC338963
TE_7047	LINC01169
TE_7392	APH1B
SE_249	MAP2K1
TE_7793	NR2F2
TE_7793	NR2F2-AS1
TE_7793	MIR1469
TE_7489	PKM
SE_241	APBA2
TE_7204	ZNF106
TE_7204	SNAP23
TE_7602	WDR61
SE_249	ISG20
TE_7561	SNX33
TE_7561	IMP3
TE_7561	SNUPN
TE_7698	WDR73
TE_7698	NMB
TE_7543	ARID3B
SE_249	ANP32A
TE_7691	ZNF592
TE_7328	NEDD4
TE_7489	ANP32A
TE_7778	UBE2Q2
SE_284	GSE1
SE_272	SLC7A5
SE_272	MIR11401
SE_267	SLC7A5
SE_267	MIR11401
SE_267	SMG1
TE_8654	SNORD68
TE_8654	RPL13
TE_8025	MIR3180-4
TE_8508	PDPR
TE_8642	PABPN1L
TE_8642	TRAPPC2L
TE_8642	GALNS
SE_267	SMG1P1
SE_267	RRN3P3
TE_8235	ZNF768
TE_8235	ZNF747
SE_261	PDIA2
SE_261	RGS11
SE_261	LUC7L
SE_261	FAM234A
SE_261	ARHGDIG
TE_8235	ZNF629
TE_8202	LOC100505915
TE_8202	RRN3
TE_8654	ZNF276
TE_8654	SPATA2L
TE_8654	VPS9D1
TE_8654	VPS9D1-AS1
TE_8015	MIR3180-5
TE_8015	PKD1
TE_8015	MIR4516
TE_8023	MIR3180-5
TE_8023	PKD1
TE_8023	MIR4516
TE_7858	GNPTG
TE_7858	BAIAP3
TE_7858	TSR3
SE_283	GSE1
TE_7877	PDPK1
TE_7877	MIR3178
TE_7877	CEMP1
SE_272	SPN
SE_284	SLC7A5
SE_284	MIR11401
TE_8046	MIR3180-4
SE_272	KCTD13
SE_275	PHKB
SE_275	ITFG1
TE_8524	TMEM170A
TE_8652	SNORD68
TE_8652	RPL13
TE_8641	PIEZO1
TE_8418	CDK10
TE_7883	ZNF213
TE_7883	ZSCAN10
TE_7883	ZNF205
TE_7883	ZNF205-AS1
TE_7883	ZNF213-AS1
TE_7883	CASP16P
SE_272	SMG1P1
SE_272	RRN3P3
TE_8236	VKORC1
TE_8236	PRSS53
TE_8597	GSE1
TE_8469	PDXDC1
TE_8419	PLEKHG4
TE_8043	MIR3180-4
SE_274	DDX19B
SE_274	AARS1
TE_7846	PDIA2
TE_7846	RGS11
TE_7846	LUC7L
TE_7846	FAM234A
TE_7846	ARHGDIG
TE_7841	PDIA2
TE_7841	RGS11
TE_7841	LUC7L
TE_7841	FAM234A
TE_7841	ARHGDIG
TE_7873	E4F1
TE_7873	MLST8
TE_7873	PGP
TE_7873	CASKIN1
TE_7873	BRICD5
TE_8237	MIR762
TE_8237	CTF1
TE_8237	BCL7C
TE_7907	GLIS2
SE_287	GSE1
SE_261	AXIN1
TE_7873	ABCA3
TE_7873	ABCA17P
TE_7883	FLYWCH2
SE_272	KIF22
SE_272	ZG16
SE_271	CD19
SE_271	RABEP2
SE_275	BCAR1
TE_8508	GLG1
TE_8658	TCF25
TE_8202	CD19
TE_8202	RABEP2
SE_275	ZNRF1
TE_7876	KCTD5
TE_7876	ERVK13-1
TE_8240	FUS
TE_8148	EXOSC6
TE_8515	MLKL
TE_8666	ANKRD11
TE_8436	SNAI3-AS1
TE_8436	MVD
TE_7985	PDPK1
TE_7985	MIR3178
TE_7985	CEMP1
SE_274	PAM16
TE_8141	TXNDC11
TE_17961	HNRNPH1
TE_16818	PDCD6
TE_16818	HRAT5
TE_17096	ADAMTS6
TE_17961	CBY3
TE_16817	SDHA
TE_16817	CCDC127
TE_17672	SPRY4
TE_17672	SPRY4-IT1
TE_17672	SPRY4-AS1
TE_17015	ARL15
TE_17636	STING1
TE_17636	SMIM33
TE_17636	ECSCR
TE_17614	HSPA9
TE_17935	DBN1
TE_17605	SRFBP1
TE_17548	SHROOM1
TE_17644	MATR3
TE_17615	ETF1
SE_532	DHFR
SE_532	MSH3
SE_532	MTRNR2L2
TE_17761	DCTN4
TE_17625	PAIP2
TE_16818	SLC6A19
TE_17102	SPATA9
TE_17102	RHOBTB3
SE_538	LARP1
TE_17130	GUSBP14
TE_17739	MGAT1
TE_17963	HNRNPH1
TE_17905	FAF2
TE_17963	TBC1D9B
TE_17754	TARS1
TE_17817	UBLCP1
TE_17656	ANKHD1
TE_17656	ANKHD1-EIF4EBP3
TE_12057	POTEF
TE_12057	MED15P9
TE_12057	CCDC74B
TE_11210	MRPL33
TE_11770	RPIA
TE_12057	CCDC74A
TE_11783	FAHD2B
TE_11092	DDX1
TE_11719	KCMF1
TE_11941	IL1A
TE_11473	PPP4R3B
TE_11673	MTHFD2
TE_11684	POLE4
SE_371	MOB1A
SE_377	LIMS3
SE_377	LIMS4
SE_377	LIMS3-LOC440895
TE_11118	LOC285095
TE_11075	TRIB2
TE_12063	LINC01087
SE_374	MIR4435-2
SE_374	MIR4435-1
TE_11505	AHSA2P
SE_365	MTIF2
SE_355	PUM2
TE_12459	C2orf88
TE_11491	RTN4
TE_12247	DARS1
TE_12247	DARS-AS1
TE_11460	EPAS1
SE_378	ZEB2-AS1
SE_378	ZEB2
SE_378	LINC01412
SE_378	LOC105373656
TE_12443	SLC40A1
TE_12512	SATB2
TE_12512	SATB2-AS1
TE_11684	LINC01291
SE_368	ACTR2
TE_11759	MIR4435-2
TE_11759	MIR4435-1
TE_11752	RMND5A
TE_11752	RNF103-CHMP3
TE_12631	ATIC
TE_12394	UBE2E3
TE_12216	POLE4
TE_11656	LOC285095
TE_11433	FOXN2
SE_365	RTN4
TE_11505	TMEM214
TE_12088	GCC2-AS1
TE_12088	LIMS1
SE_377	RANBP2
TE_12718	BARD1
TE_12718	SNHG31
TE_12278	FASTKD1
SE_357	KIF3C
TE_12278	SSB
TE_11613	YWHAQ
SE_377	RGPD5
SE_377	RGPD8
TE_11627	C2orf42
TE_12425	ZNF512
TE_12425	C2orf16
TE_11017	RRM2
SE_370	SNRPG
SE_370	FAM136A
TE_12005	HNRNPA3
TE_12005	LOC105373759
TE_12005	MIR4444-1
TE_12005	MIR4444-2
SE_371	MFSD2B
TE_12543	CFLAR
TE_12278	PHOSPHO2
TE_12278	PHOSPHO2-KLHL23
TE_12278	CCDC173
SE_379	IL1A
TE_11322	MAP4K3
TE_11322	MAP4K3-DT
SE_379	ACVR1
TE_11505	XPO1
TE_12345	SEMA4C
TE_11202	DNAJC5G
TE_11202	TRIM54
TE_11202	SLC30A3
TE_11611	CHAC2
TE_12058	FAM168B
TE_12513	NIFK
TE_18439	CMTR1
TE_18285	H2BC17
TE_18285	H2AC17
TE_18285	H3C12
TE_18260	H4C5
TE_18260	H4C4
TE_18260	H2AC7
TE_18260	H3C4
TE_18260	H2BC6
TE_18260	H2BC7
SE_557	TUBB2A
TE_18284	H2BC17
TE_18284	H2AC17
TE_18284	H3C12
TE_18678	LCA5
SE_556	NQO2
SE_587	LINC00533
SE_578	H4C8
TE_18277	H4C9
TE_18277	H2BC12
TE_18277	MIR3143
TE_18277	H2BC11
TE_18277	H2AC11
TE_18277	H2AC12
SE_583	ZNF184
TE_19242	NCOA7
TE_18257	H4C2
TE_18257	H2AC4
TE_18257	H4C1
TE_18257	H3C1
TE_18257	H1-1
TE_18257	H3C2
SE_601	GTPBP2
SE_601	RSPH9
SE_601	MAD2L1BP
TE_18490	GUCA1B
SE_605	FAM8A1
TE_18403	PPARD
SE_584	H2AC15
SE_584	H2AC13
SE_584	H2BC14
SE_584	H2BC15
SE_584	H2BC13
SE_584	H2AC14
SE_584	H4C11
SE_584	H3C10
SE_584	H4C12
TE_19006	ECHDC1
SE_624	STXBP5
SE_624	STXBP5-AS1
TE_18886	RPF2
TE_18387	SNRPC
SE_586	TRIM27
SE_605	LIN28B-AS1
TE_18309	GABBR1
SE_605	NQO2
TE_18511	MEA1
TE_18511	KLHDC3
TE_18511	RRP36
TE_18437	RNF8
SE_593	SMIM29
SE_593	MIR6835
TE_18487	MED20
TE_18487	BYSL
TE_18260	H1-4
TE_18260	H2BC5
SE_574	H4C9
SE_574	H2BC12
SE_574	MIR3143
SE_574	H2BC11
SE_574	H2AC11
SE_574	H2AC12
SE_605	MICA
SE_605	MICA-AS1
SE_602	GTPBP2
SE_602	RSPH9
SE_602	MAD2L1BP
TE_19312	MRS2
TE_18049	H4C9
TE_18049	H2BC12
TE_18049	MIR3143
TE_18049	H2BC11
TE_18049	H2AC11
TE_18049	H2AC12
SE_599	MED20
SE_599	BYSL
SE_597	PIM1
SE_599	NQO2
SE_587	ZKSCAN4
SE_587	NKAPL
SE_587	PGBD1
SE_587	ZSCAN26
TE_19148	LOC115308161
TE_19148	ARID1B
TE_19148	MIR4466
SE_590	VARS2
SE_590	GTF2H4
TE_18927	GTF3C6
TE_18486	USP49
TE_18642	H2BC17
TE_18642	H2AC17
TE_18642	H3C12
SE_597	CCDC167
SE_597	LINC02520
SE_580	IGF2R
SE_629	DNPH1
SE_596	TMEM63B
SE_596	MRPL14
SE_605	DYNLT1
SE_605	SYTL3
TE_18521	SNORD48
TE_18521	SNORD52
TE_18521	SNHG32
TE_18521	HSPA1B
SE_581	H4C9
SE_581	H2BC12
SE_581	MIR3143
SE_581	H2BC11
SE_581	H2AC11
SE_581	H2AC12
SE_589	MICB
SE_589	MICB-DT
TE_18074	KLC4
TE_18074	MRPL2
TE_18074	CUL7
SE_596	PIM1
TE_18608	ZNF451
SE_590	ABCF1
SE_564	RANBP9
TE_18213	E2F3
TE_18885	GTF3C6
TE_18766	NCOA7
